"Player_name","Team","Level","c.IP","N","HR_9","Kpct","BBpct","DER","ERA","FIP","K_BB","ID","Diff"
"Ｃ．Ｃ．リー","L","Farm",24.7,106,0.36,30.2,8.5,0.698,1.82,2.16,21.7,"Ｃ．Ｃ．リー L",NA
"Ｃ．Ｃ．リー","L","Top",16.7,80,0.54,16.2,6.2,0.607,6.48,3.07,9.9,"Ｃ．Ｃ．リー L",NA
"Ｋ－鈴木","Bs","Farm",88.3,363,0.82,21.8,7.7,0.668,2.85,3.32,14.1,"Ｋ－鈴木 Bs",81
"Ｋ－鈴木","Bs","Top",7.3,42,3.68,4.8,21.4,0.714,8.59,11.48,-16.6,"Ｋ－鈴木 Bs",81
"ＭＩＣＨＥＡＬ","L","Farm",23,92,0.39,26.1,7.6,0.729,1.96,2.39,18.5,"ＭＩＣＨＥＡＬ L",NA
"ＭＩＣＨＥＡＬ","L","Top",22,96,0.41,20.8,7.3,0.677,2.86,2.48,13.5,"ＭＩＣＨＥＡＬ L",NA
"Ｒ．マルティネス","D","Farm",33,129,0,13.2,9.3,0.768,0.55,3.1,3.9,"Ｒ．マルティネス D",11.3
"Ｒ．マルティネス","D","Top",21.7,99,1.66,14.1,8.1,0.667,6.65,5.38,6,"Ｒ．マルティネス D",11.3
"アコスタ","G","Farm",11.3,43,0,20.9,2.3,0.758,0.79,1.59,18.6,"アコスタ G",NA
"アコスタ","G","Top",13,57,2.77,21.1,7,0.703,5.54,5.96,14.1,"アコスタ G",NA
"アダメス","G","Farm",92,380,0.105,14.5,8.2,0.704,3.03,3.19,6.3,"アダメス G",60
"アダメス","G","Top",32,141,0.56,13.5,14.2,0.711,3.94,4.43,-0.7,"アダメス G",60
"アドゥワ　誠","C","Farm",25.3,126,1.084,17.5,12.7,0.655,9.95,4.75,4.8,"アドゥワ　誠 C",-42
"アドゥワ　誠","C","Top",67.3,293,0.53,10.2,12.3,0.736,3.74,4.55,-2.1,"アドゥワ　誠 C",-42
"アラウホ","D","Farm",27.3,120,0.66,15.8,16.7,0.709,3.95,4.69,-0.9,"アラウホ D",19
"アラウホ","D","Top",8.3,38,1.08,15.8,7.9,0.692,6.48,4.83,7.9,"アラウホ D",19
"アルバース","Bs","Farm",14.3,56,0,14.3,1.8,0.66,1.26,2.04,12.5,"アルバース Bs",-99.7
"アルバース","Bs","Top",114,455,0.79,18.2,4.6,0.72,3.08,3.31,13.6,"アルバース Bs",-99.7
"アンソニー・カーター","F","Farm",1.7,7,5.4,14.3,0,0.8,5.4,9.64,14.3,"アンソニー・カーター F",NA
"アンソニー・カーター","F","Top",45.3,195,0.4,16.9,12.3,0.701,3.97,3.58,4.6,"アンソニー・カーター F",NA
"イ・デウン","M","Farm",117,528,0.615,18.5,10.4,0.701,3.77,3.76,8.1,"イ・デウン M",NA
"イ・デウン","M","Top",124.7,561,0.873,19.3,11.9,0.688,3.97,4,7.3,"イ・デウン M",NA
"ウィーランド","DB","Farm",61.7,238,0.433,26.9,5.5,0.711,1.46,2.23,21.4,"ウィーランド DB",-163.3
"ウィーランド","DB","Top",225,951,1.217,20.4,7.2,0.704,3.8,3.93,13.2,"ウィーランド DB",-163.3
"ウィリアムス","L","Farm",18.3,71,0,29.5,9.9,0.786,1.47,1.9,19.7,"ウィリアムス L",NA
"ウィリアムス","L","Top",132,573,0.134,25.3,12.4,0.694,2.25,2.59,13,"ウィリアムス L",NA
"ウーゴ","G","Farm",28,129,0.64,12.4,13.2,0.689,5.79,5.05,-0.8,"ウーゴ G",NA
"ウーゴ","S","Farm",87.7,383,0.62,13.3,6.8,0.675,5.34,3.65,6.5,"ウーゴ S",NA
"ウーゴ","S","Top",0.7,6,0,0,66.7,1,13.5,20.62,-66.7,"ウーゴ S",NA
"ウエスト","Bs","Farm",21.7,92,0,17.4,6.5,0.652,3.74,2.42,10.9,"ウエスト Bs",19.7
"ウエスト","Bs","Top",2,10,0,0,30,0.857,4.5,7.41,-30,"ウエスト Bs",19.7
"ウルキデス","S","Farm",16.7,69,0,24.6,4.3,0.688,1.08,1.63,20.2,"ウルキデス S",11.4
"ウルキデス","S","Top",5.3,24,0,16.7,4.2,0.684,5.06,2.09,12.5,"ウルキデス S",11.4
"ウルフ","F","Farm",9,32,0,6.2,3.1,0.828,2,2.78,3.1,"ウルフ F",NA
"ウルフ","F","Top",279,1178,0.26,12.1,6.1,0.701,2.84,2.95,6,"ウルフ F",NA
"ウルフ","H","Farm",23,90,0,18.9,3.3,0.71,1.17,1.89,15.6,"ウルフ H",NA
"ウルフ","H","Top",56.3,243,0.96,14.4,7.4,0.694,4.31,4.02,7,"ウルフ H",NA
"ウルフ","L","Farm",28.3,120,0.317,15,5.8,0.681,4.13,2.9,9.1,"ウルフ L",-173.3
"ウルフ","L","Top",215,918,1.007,13.3,6.3,0.687,3.97,4.09,7,"ウルフ L",-173.3
"エスコバー","DB","Farm",19.7,92,0.47,30.5,8.7,0.667,5.04,1.97,21.8,"エスコバー DB",-67.3
"エスコバー","DB","Top",87,370,0.831,23.5,8.9,0.68,3.52,3.31,14.6,"エスコバー DB",-67.3
"エスコバー","F","Farm",7,25,0,28,4,0.71,0,1.36,24,"エスコバー F",-15.3
"エスコバー","F","Top",22.3,117,0.81,16.2,11.1,0.674,5.64,4.53,5.1,"エスコバー F",-15.3
"エレラ","DB","Farm",1.3,11,0,18.2,27.3,0.4,40.5,9.01,-9.1,"エレラ DB",NA
"エレラ","DB","Top",51.7,211,0.35,25.1,7.1,0.693,2.96,2.14,18,"エレラ DB",NA
"オーレンドルフ","S","Farm",47,202,2.11,14.4,6.9,0.766,5.94,5.82,7.5,"オーレンドルフ S",29
"オーレンドルフ","S","Top",18,84,0.5,17.9,13.1,0.696,5.5,3.97,4.8,"オーレンドルフ S",29
"オスカル","C","Farm",72.3,319,0.619,13.1,8.2,0.7,3.61,3.94,5,"オスカル C",52.6
"オスカル","C","Top",24.4,111,1.126,11.7,6.3,0.655,6.28,4.47,5.4,"オスカル C",52.6
"オセゲラ","H","Farm",85.3,332,0.524,19.3,6.3,0.743,3.37,3.05,12.9,"オセゲラ H",NA
"オセゲラ","H","Top",48,207,0.39,14.5,9.7,0.701,3.94,3.52,4.8,"オセゲラ H",NA
"オルモス","M","Farm",16.3,75,0.55,17.3,14.7,0.766,2.2,4.72,2.6,"オルモス M",9.3
"オルモス","M","Top",7,33,0,15.2,18.2,0.591,7.71,4.17,-3,"オルモス M",9.3
"オンドルセク","S","Top",99.6,397,0.181,23,8.3,0.728,2.17,2.28,14.6,"オンドルセク S",NA
"カーペンター","S","Farm",16,65,0,24.6,15.4,0.744,0.56,2.92,9.2,"カーペンター S",NA
"カーペンター","S","Top",32.3,144,0.84,18.8,16.7,0.675,4.73,4.67,2.1,"カーペンター S",NA
"カスティーヨ","L","Farm",14.7,66,0.61,13.6,7.6,0.673,5.52,4.04,6,"カスティーヨ L",-59.6
