"Player_name","Team","Level","PA","AVG","wOBA","HRpct","Kpct","BBpct","BABIP","TTO","ID","Diff"
"Ｇ　後藤　武敏","DB","Farm",132,0.276,0.348,3.03,17.4,9.1,0.308,29.5,"Ｇ　後藤　武敏 DB",131
"エリアン","DB","Farm",136,0.267,0.325,2.21,17.6,10.3,0.305,30.1,"エリアン DB",74
"エルドレッド","C","Farm",123,0.295,0.36,4.06,21.2,4.9,0.337,30.1,"エルドレッド C",-376
"オコエ　瑠偉","E","Farm",166,0.314,0.332,1.2,19.3,3.6,0.384,24.1,"オコエ　瑠偉 E",-92
"ギャレット","G","Farm",179,0.275,0.387,6.15,20.7,13.4,0.292,40.3,"ギャレット G",179
"キャンベル","T","Farm",283,0.304,0.393,1.41,15.5,19.4,0.358,36.3,"キャンベル T",229
"グリーン","S","Farm",236,0.301,0.394,5.93,14,8.1,0.299,28,"グリーン S",155
"クルーズ","G","Farm",139,0.305,0.386,7.19,10.8,2.9,0.273,20.9,"クルーズ G",106
"コラス","H","Farm",162,0.213,0.296,4.32,28.4,4.9,0.253,37.7,"コラス H",162
"ジェンセン","H","Farm",193,0.272,0.398,6.22,30.1,11.4,0.337,47.7,"ジェンセン H",179
"ジョージ","Bs","Farm",257,0.278,0.334,0.78,20.6,8.6,0.349,29.9,"ジョージ Bs",257
"シリアコ","DB","Farm",179,0.291,0.348,3.35,15.6,6.7,0.318,25.6,"シリアコ DB",151
"ダフィー","M","Farm",166,0.245,0.333,3.61,21.1,6.6,0.28,31.3,"ダフィー M",-17
"ディクソン","E","Farm",153,0.273,0.401,6.54,20.9,11.1,0.286,38.5,"ディクソン E",93
"ドミンゲス","M","Farm",187,0.239,0.334,3.21,23.5,10.7,0.288,37.4,"ドミンゲス M",94
"バティスタ","C","Farm",329,0.314,0.432,8.51,19.7,10.3,0.313,38.6,"バティスタ C",-116
"フェルナンド","E","Farm",639,0.279,0.326,2.66,16.6,6.3,0.313,25.5,"フェルナンド E",623
"ペーニャ","C","Farm",231,0.258,0.258,0.87,19.5,1.7,0.309,22.1,"ペーニャ C",192
"ペゲーロ","M","Farm",164,0.277,0.366,5.49,18.3,5.5,0.286,29.3,"ペゲーロ M",164
"マルティネス","G","Farm",300,0.264,0.349,4.66,28.3,8.3,0.331,41.3,"マルティネス G",234
"マレーロ","Bs","Farm",139,0.275,0.357,3.6,15.8,11.5,0.295,30.9,"マレーロ Bs",-425
"メヒア","C","Farm",745,0.333,0.417,5.1,14.6,8.1,0.35,27.8,"メヒア C",686
"モヤ","D","Farm",107,0.294,0.356,2.8,18.7,4.7,0.342,26.2,"モヤ D",6
"モレル","Bs","Farm",171,0.29,0.371,1.75,11.7,19.3,0.322,32.8,"モレル Bs",61
"阿部　寿樹","D","Farm",630,0.228,0.283,1.11,17.2,9.2,0.269,27.5,"阿部　寿樹 D",558
"阿部　俊人","E","Farm",125,0.231,0.262,0.8,11.2,3.2,0.252,15.2,"阿部　俊人 E",102
"愛斗","L","Farm",536,0.282,0.335,3.92,19.1,3.5,0.312,26.5,"愛斗 L",527
"安田　尚憲","M","Farm",432,0.271,0.324,2.78,24.1,6.9,0.337,33.8,"安田　尚憲 M",372
"伊志嶺　忠","E","Farm",292,0.202,0.263,2.05,23.3,6.8,0.244,32.2,"伊志嶺　忠 E",278
"伊志嶺　翔大","M","Farm",290,0.277,0.33,0.34,14.2,12.8,0.327,27.3,"伊志嶺　翔大 M",116
"伊東　亮大","E","Farm",142,0.281,0.347,2.11,19,7.8,0.337,28.9,"伊東　亮大 E",142
"伊藤　光","Bs","Farm",108,0.304,0.374,1.85,13.9,10.2,0.347,25.9,"伊藤　光 Bs",-147
"伊藤　康祐","D","Farm",257,0.198,0.223,0.78,21.4,6.2,0.25,28.4,"伊藤　康祐 D",257
"伊藤　隼太","T","Farm",144,0.314,0.397,2.77,9.7,16.7,0.323,29.2,"伊藤　隼太 T",-101
"井上　晴哉","M","Farm",152,0.323,0.418,5.26,11.9,12.5,0.324,29.6,"井上　晴哉 M",-515
"井野　卓","S","Farm",147,0.192,0.224,0,16.3,10.2,0.236,26.5,"井野　卓 S",37
"井領　雅貴","D","Farm",430,0.254,0.301,0.46,15.8,9.5,0.299,25.8,"井領　雅貴 D",396
"磯村　嘉孝","C","Farm",155,0.357,0.353,0,7.1,5.2,0.386,12.2,"磯村　嘉孝 C",25
"宇佐見　真吾","G","Farm",293,0.25,0.304,2.05,20.8,9.9,0.302,32.7,"宇佐見　真吾 G",190
"宇佐美　塁大","F","Farm",178,0.238,0.348,5.62,34.3,9.6,0.315,49.5,"宇佐美　塁大 F",178
"鵜久森　淳志","S","Farm",272,0.23,0.288,1.1,17.3,12.1,0.272,30.5,"鵜久森　淳志 S",161
"永井　敦士","C","Farm",173,0.149,0.182,1.16,33.5,4,0.218,38.7,"永井　敦士 C",173
"永江　恭平","L","Farm",305,0.235,0.293,2.3,22.3,7.5,0.288,32.1,"永江　恭平 L",286
"榎本　葵","S","Farm",370,0.229,0.286,0,9.7,11.1,0.258,20.8,"榎本　葵 S",362
"園部　聡","Bs","Farm",493,0.202,0.315,2.43,24.3,15.8,0.252,42.6,"園部　聡 Bs",493
"遠藤　一星","D","Farm",482,0.251,0.297,1.25,13.4,7.5,0.281,22.2,"遠藤　一星 D",372
"塩見　泰隆","S","Farm",166,0.329,0.43,5.42,22.3,11.4,0.385,39.2,"塩見　泰隆 S",140
"奥村　展征","S","Farm",563,0.263,0.315,1.95,15.8,9.2,0.3,27,"奥村　展征 S",392
"奥浪　鏡","Bs","Farm",107,0.188,0.325,1.87,22.4,23.4,0.236,47.6,"奥浪　鏡 Bs",107
"横尾　俊建","F","Farm",335,0.244,0.331,3.58,19.7,7.8,0.273,31,"横尾　俊建 F",-24
"岡　大海","F","Farm",305,0.282,0.368,2.95,24.6,10.2,0.362,37.7,"岡　大海 F",113
