"Player_name","Team","Level","IP","N","HR_9","Kpct","BBpct","DER","ERA","FIP","K_BB","ID","Diff"
"アダメス","G","Farm",66.3,268,0,11.6,7.1,0.7,3.26,3.12,4.5,"アダメス G",66.3
"イ・デウン","M","Farm",112,507,0.64,18.5,10.8,0.701,3.86,3.87,7.7,"イ・デウン M",107
"オスカル","C","Farm",53.3,234,0.668,12.4,8.1,0.704,3.71,3.97,4.3,"オスカル C",28.9
"キャンデラリオ","L","Farm",65,285,0.97,17.9,10.5,0.692,4.98,4.23,7.4,"キャンデラリオ L",62
"スタンリッジ","M","Farm",51,200,0.174,19.5,7,0.752,1.06,2.54,12.5,"スタンリッジ M",-188
"ソン・チャーホウ","E","Farm",62.7,254,0.57,16.5,3.9,0.702,2.44,2.98,12.6,"ソン・チャーホウ E",62.7
"チェン・グァンユウ","M","Farm",126.7,546,0.792,16.6,7.3,0.681,4.19,3.77,9.3,"チェン・グァンユウ M",43.3
"ブリガム","E","Farm",73.7,309,0.12,19.4,9.1,0.697,3.67,2.78,10.3,"ブリガム E",39.4
"ヘーゲンズ","C","Farm",51.3,201,0.182,15.4,8,0.748,1.58,3.05,7.4,"ヘーゲンズ C",-47
"ペトリック","DB","Farm",63,270,0,12.2,7,0.7,3.43,2.91,5.2,"ペトリック DB",15.7
"ミッシュ","Bs","Farm",86.7,353,0.31,15,8.2,0.746,2.39,3.38,6.8,"ミッシュ Bs",81.4
"メルセデス","G","Farm",59.7,247,0.3,21.9,8.9,0.697,3.32,2.86,13,"メルセデス G",59.7
"レイ","E","Farm",50,187,0.36,17.6,3.2,0.778,1.26,2.69,14.4,"レイ E",32.7
"阿知羅　拓馬","D","Farm",160.4,637,0.169,18.5,8,0.753,1.69,2.72,10.5,"阿知羅　拓馬 D",140.1
"阿部　和成","M","Farm",70.3,310,0.13,17.7,7.7,0.709,3.84,2.72,10,"阿部　和成 M",51
